Omega_rs_over_c0,R_SYM,R_mu_only,R_eps_only,Rpow_mu_bounded,Rpow_eps_bounded
5.96093e+00,2.905426e-16,5.266032e-02,5.266032e-02,2.773110e-03,2.773110e-03
6.15349e+00,3.303281e-16,5.088775e-02,5.088775e-02,2.589563e-03,2.589563e-03
6.35227e+00,1.360613e-16,4.959184e-02,4.959184e-02,2.459350e-03,2.459350e-03
6.55747e+00,2.391324e-16,4.777427e-02,4.777427e-02,2.282381e-03,2.282381e-03
6.76930e+00,2.349366e-16,4.605947e-02,4.605947e-02,2.121475e-03,2.121475e-03
6.98798e+00,2.498784e-16,4.480171e-02,4.480171e-02,2.007193e-03,2.007193e-03
7.21372e+00,1.499224e-16,4.343331e-02,4.343331e-02,1.886452e-03,1.886452e-03
7.44675e+00,4.045472e-16,4.181727e-02,4.181727e-02,1.748684e-03,1.748684e-03
7.68730e+00,2.930913e-16,4.026949e-02,4.026949e-02,1.621632e-03,1.621632e-03
7.93563e+00,6.002907e-16,3.893782e-02,3.893782e-02,1.516154e-03,1.516154e-03
8.19198e+00,7.628100e-17,3.773046e-02,3.773046e-02,1.423587e-03,1.423587e-03
8.45662e+00,3.792668e-16,3.653766e-02,3.653766e-02,1.335001e-03,1.335001e-03
8.72980e+00,2.399802e-17,3.532734e-02,3.532734e-02,1.248021e-03,1.248021e-03
9.01180e+00,2.153396e-16,3.411473e-02,3.411473e-02,1.163815e-03,1.163815e-03
9.30292e+00,2.600829e-16,3.291979e-02,3.291979e-02,1.083712e-03,1.083712e-03
9.60344e+00,2.734631e-16,3.174926e-02,3.174926e-02,1.008015e-03,1.008015e-03
9.91367e+00,1.881442e-16,3.059407e-02,3.059407e-02,9.359971e-04,9.359971e-04
1.02339e+01,3.537806e-16,2.943484e-02,2.943484e-02,8.664095e-04,8.664095e-04
1.05645e+01,1.185369e-16,2.826478e-02,2.826478e-02,7.988976e-04,7.988976e-04
1.09058e+01,7.381350e-16,2.713511e-02,2.713511e-02,7.363139e-04,7.363139e-04
1.12581e+01,5.341749e-16,2.615362e-02,2.615362e-02,6.840116e-04,6.840116e-04
1.16218e+01,6.464622e-16,2.530258e-02,2.530258e-02,6.402203e-04,6.402203e-04
1.19972e+01,3.665009e-16,2.430740e-02,2.430740e-02,5.908495e-04,5.908495e-04
1.23847e+01,2.783054e-17,2.318549e-02,2.318549e-02,5.375669e-04,5.375669e-04
1.27848e+01,2.507022e-16,2.239511e-02,2.239511e-02,5.015410e-04,5.015410e-04
1.31978e+01,6.008975e-16,2.146144e-02,2.146144e-02,4.605936e-04,4.605936e-04
1.36242e+01,4.026177e-16,2.049540e-02,2.049540e-02,4.200615e-04,4.200615e-04
1.40643e+01,4.248201e-16,1.972634e-02,1.972634e-02,3.891284e-04,3.891284e-04
1.45186e+01,1.722531e-16,1.878199e-02,1.878199e-02,3.527630e-04,3.527630e-04
1.49876e+01,4.964336e-16,1.796161e-02,1.796161e-02,3.226195e-04,3.226195e-04
1.54718e+01,6.948674e-16,1.722493e-02,1.722493e-02,2.966982e-04,2.966982e-04
1.59716e+01,5.107775e-16,1.628227e-02,1.628227e-02,2.651124e-04,2.651124e-04
1.64875e+01,1.008708e-15,1.550261e-02,1.550261e-02,2.403309e-04,2.403309e-04
1.70201e+01,4.529445e-16,1.481120e-02,1.481120e-02,2.193716e-04,2.193716e-04
1.75699e+01,2.655972e-16,1.407540e-02,1.407540e-02,1.981168e-04,1.981168e-04
1.81375e+01,7.863315e-16,1.331339e-02,1.331339e-02,1.772464e-04,1.772464e-04
1.87234e+01,1.926023e-15,1.256303e-02,1.256303e-02,1.578296e-04,1.578296e-04
1.93282e+01,2.698201e-15,1.183067e-02,1.183067e-02,1.399648e-04,1.399648e-04
1.99526e+01,2.891019e-15,1.109117e-02,1.109117e-02,1.230141e-04,1.230141e-04
