A_strain,S(A),SR_over_SRmax,SR_V_per_s
0.18778,0.982211,0.982211,3.328600e+25
0.19029,0.981729,0.981729,3.326966e+25
0.19279,0.981240,0.981240,3.325311e+25
0.19529,0.980745,0.980745,3.323632e+25
0.19780,0.980243,0.980243,3.321931e+25
0.20030,0.979734,0.979734,3.320208e+25
0.20280,0.979219,0.979219,3.318462e+25
0.20531,0.978697,0.978697,3.316693e+25
0.20781,0.978169,0.978169,3.314902e+25
0.21032,0.977634,0.977634,3.313088e+25
0.21282,0.977092,0.977092,3.311251e+25
0.21532,0.976543,0.976543,3.309392e+25
0.21783,0.975987,0.975987,3.307510e+25
0.22033,0.975425,0.975425,3.305604e+25
0.22283,0.974856,0.974856,3.303676e+25
0.22534,0.974281,0.974281,3.301725e+25
0.22784,0.973698,0.973698,3.299751e+25
0.23035,0.973109,0.973109,3.297755e+25
0.23285,0.972513,0.972513,3.295734e+25
0.23535,0.971910,0.971910,3.293691e+25
0.23786,0.971300,0.971300,3.291625e+25
0.24036,0.970684,0.970684,3.289536e+25
0.24286,0.970060,0.970060,3.287423e+25
0.24537,0.969430,0.969430,3.285287e+25
0.24787,0.968793,0.968793,3.283128e+25
0.25038,0.968149,0.968149,3.280945e+25
0.25288,0.967498,0.967498,3.278739e+25
0.25538,0.966840,0.966840,3.276510e+25
0.25789,0.966175,0.966175,3.274257e+25
0.26039,0.965503,0.965503,3.271980e+25
0.26289,0.964825,0.964825,3.269680e+25
0.26540,0.964139,0.964139,3.267356e+25
0.26790,0.963446,0.963446,3.265009e+25
0.27041,0.962746,0.962746,3.262637e+25
0.27291,0.962040,0.962040,3.260242e+25
0.27541,0.961326,0.961326,3.257823e+25
0.27792,0.960605,0.960605,3.255381e+25
0.28042,0.959877,0.959877,3.252914e+25
0.28292,0.959142,0.959142,3.250423e+25
0.28543,0.958400,0.958400,3.247908e+25
0.28793,0.957651,0.957651,3.245369e+25
0.29044,0.956894,0.956894,3.242806e+25
0.29294,0.956131,0.956131,3.240218e+25
0.29544,0.955360,0.955360,3.237606e+25
0.29795,0.954582,0.954582,3.234970e+25
0.30045,0.953797,0.953797,3.232310e+25
0.30295,0.953005,0.953005,3.229625e+25
0.30546,0.952205,0.952205,3.226915e+25
0.30796,0.951399,0.951399,3.224181e+25
0.31047,0.950584,0.950584,3.221422e+25
0.31297,0.949763,0.949763,3.218638e+25
0.31547,0.948934,0.948934,3.215830e+25
0.31798,0.948098,0.948098,3.212997e+25
0.32048,0.947255,0.947255,3.210138e+25
0.32298,0.946404,0.946404,3.207255e+25
0.32549,0.945546,0.945546,3.204347e+25
0.32799,0.944680,0.944680,3.201414e+25
0.33050,0.943807,0.943807,3.198455e+25
0.33300,0.942927,0.942927,3.195471e+25
0.33550,0.942039,0.942039,3.192462e+25
