A2,H_shear_redshift,H_EM_phase
0.92092,0.530291,3.556082
0.92292,0.526902,3.601969
0.92493,0.523447,3.649680
0.92693,0.519922,3.699339
0.92893,0.516323,3.751081
0.93093,0.512648,3.805057
0.93293,0.508892,3.861432
0.93494,0.505051,3.920389
0.93694,0.501120,3.982132
0.93894,0.497095,4.046888
0.94094,0.492969,4.114909
0.94294,0.488737,4.186479
0.94495,0.484393,4.261918
0.94695,0.479928,4.341589
0.94895,0.475334,4.425901
0.95095,0.470604,4.515324
0.95295,0.465726,4.610396
0.95496,0.460691,4.711738
0.95696,0.455484,4.820070
0.95896,0.450093,4.936236
0.96096,0.444500,5.061227
0.96296,0.438688,5.196220
0.96497,0.432636,5.342625
0.96697,0.426318,5.502146
0.96897,0.419706,5.676867
0.97097,0.412767,5.869364
0.97297,0.405458,6.082872
0.97498,0.397731,6.321516
0.97698,0.389526,6.590647
0.97898,0.380766,6.897365
0.98098,0.371357,7.251322
0.98298,0.361172,7.666036
0.98499,0.350045,8.161151
0.98699,0.337743,8.766527
0.98899,0.323927,9.530286
0.99099,0.308076,10.536234
0.99299,0.289313,11.947157
0.99500,0.265968,14.136471
0.99700,0.234074,18.251324
0.99900,0.177828,31.622777
