A2,S,Z_SYM_ohm,Z_mu_only_ohm,Z_eps_only_ohm
0.96697,0.181747,376.7303,160.6070,883.6833
0.96897,0.176154,376.7303,158.1161,897.6043
0.97097,0.170376,376.7303,155.5017,912.6959
0.97297,0.164396,376.7303,152.7482,929.1480
0.97498,0.158190,376.7303,149.8373,947.1989
0.97698,0.151730,376.7303,146.7461,967.1517
0.97898,0.144983,376.7303,143.4462,989.4006
0.98098,0.137906,376.7303,139.9014,1014.4699
0.98298,0.130446,376.7303,136.0646,1043.0761
0.98499,0.122532,376.7303,131.8727,1076.2329
0.98699,0.114070,376.7303,127.2380,1115.4352
0.98899,0.104929,376.7303,122.0331,1163.0102
0.99099,0.094911,376.7303,116.0614,1222.8503
0.99299,0.083702,376.7303,108.9929,1302.1555
0.99500,0.070739,376.7303,100.1982,1416.4494
0.99700,0.054791,376.7303,88.1827,1609.4510
0.99900,0.031623,376.7303,66.9932,2118.5102
